Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D35,44.150000mm,64.350000mm,Top,0.0,44.150000mm,64.350000mm
D36,49.350000mm,64.250000mm,Top,0.0,49.350000mm,64.250000mm
D37,36.737498mm,67.798501mm,Top,-90.0,36.737498mm,67.798501mm
D38,31.750000mm,76.550000mm,Top,90.0,31.750000mm,76.550000mm
D39,34.200000mm,71.600000mm,Top,0.0,34.200000mm,71.600000mm
D40,34.150000mm,67.900000mm,Top,0.0,34.150000mm,67.900000mm
D41,47.250000mm,76.451499mm,Top,90.0,47.250000mm,76.451499mm
D42,52.300000mm,76.350000mm,Top,90.0,52.300000mm,76.350000mm
D43,39.350000mm,68.050000mm,Top,0.0,39.350000mm,68.050000mm
D44,34.100000mm,76.100000mm,Top,0.0,34.100000mm,76.100000mm
D45,31.400000mm,71.550000mm,Top,-90.0,31.400000mm,71.550000mm
D46,31.350000mm,67.950000mm,Top,-90.0,31.350000mm,67.950000mm
D47,49.700000mm,76.050000mm,Top,0.0,49.700000mm,76.050000mm
D48,54.650000mm,76.100000mm,Top,0.0,54.650000mm,76.100000mm
D49,33.250000mm,88.050000mm,Top,180.0,33.250000mm,88.050000mm
D50,26.800000mm,76.900000mm,Top,90.0,26.800000mm,76.900000mm
D51,25.300000mm,73.300000mm,Top,180.0,25.300000mm,73.300000mm
D52,38.500000mm,83.350000mm,Top,-90.0,38.500000mm,83.350000mm
D53,24.600000mm,76.905000mm,Top,90.0,24.600000mm,76.905000mm
D54,29.250000mm,76.900000mm,Top,90.0,29.250000mm,76.900000mm
F1,81.196000mm,94.545000mm,Top,-90.0,81.196000mm,94.545000mm
F2,78.800000mm,94.595000mm,Top,-90.0,78.800000mm,94.595000mm
F3,70.100000mm,94.550000mm,Top,-90.0,70.100000mm,94.550000mm
F4,63.950000mm,94.550000mm,Top,-90.0,63.950000mm,94.550000mm
F5,58.650000mm,94.495000mm,Top,-90.0,58.650000mm,94.495000mm
F6,56.300000mm,94.450000mm,Top,-90.0,56.300000mm,94.450000mm
F7,32.900000mm,94.949979mm,Top,-90.0,32.900000mm,94.949979mm
F8,39.600000mm,94.849979mm,Top,-90.0,39.600000mm,94.849979mm
F9,35.350000mm,94.899979mm,Top,-90.0,35.350000mm,94.899979mm
J1,29.800000mm,5.200000mm,Top,90.0,29.800000mm,5.200000mm
J2,40.250000mm,4.450000mm,Top,90.0,40.250000mm,4.450000mm
M1,43.137891mm,11.533985mm,Top,90.0,43.137891mm,11.533985mm
M2,78.150000mm,15.650000mm,Top,180.0,78.150000mm,15.650000mm
M3,24.900000mm,47.200000mm,Top,-90.0,24.900000mm,47.200000mm
M4,79.129889mm,1.100000mm,Top,0.0,79.129889mm,1.100000mm
M5,92.075000mm,70.179681mm,Top,180.0,92.075000mm,70.179681mm
M6,92.887501mm,54.003623mm,Top,180.0,92.887501mm,54.003623mm
M7,59.450000mm,7.300000mm,Top,180.0,59.450000mm,7.300000mm
M8,7.800000mm,72.150000mm,Top,-90.0,7.800000mm,72.150000mm
M9,96.320000mm,67.320000mm,Top,90.0,96.320000mm,67.320000mm
P1,61.350000mm,101.100000mm,Top,0.0,61.350000mm,101.100000mm
P2,9.650000mm,101.100000mm,Top,0.0,9.650000mm,101.100000mm
Q1,3.250000mm,31.350010mm,Top,270.0,3.250000mm,31.350010mm
