Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D32,90.649998mm,49.600001mm,Top,-90.0,90.649998mm,49.600001mm
D33,83.100000mm,49.600000mm,Top,-90.0,83.100000mm,49.600000mm
D34,47.000000mm,49.600000mm,Top,-90.0,47.000000mm,49.600000mm
D35,48.900000mm,49.600000mm,Top,-90.0,48.900000mm,49.600000mm
D36,50.800000mm,49.600000mm,Top,-90.0,50.800000mm,49.600000mm
D39,52.700000mm,49.600000mm,Top,-90.0,52.700000mm,49.600000mm
D40,56.500000mm,49.600000mm,Top,-90.0,56.500000mm,49.600000mm
D43,62.200000mm,49.600000mm,Top,-90.0,62.200000mm,49.600000mm
D44,64.100000mm,49.600000mm,Top,-90.0,64.100000mm,49.600000mm
D47,69.800000mm,49.600000mm,Top,-90.0,69.800000mm,49.600000mm
D48,71.700000mm,49.600000mm,Top,-90.0,71.700000mm,49.600000mm
D50,27.200000mm,41.257581mm,Top,180.0,27.200000mm,41.257581mm
D55,83.900000mm,92.500000mm,Top,270.0,83.900000mm,92.500000mm
D56,73.600000mm,49.600000mm,Top,-90.0,73.600000mm,49.600000mm
D57,75.500000mm,49.600000mm,Top,-90.0,75.500000mm,49.600000mm
D58,76.000000mm,92.900000mm,Top,270.0,76.000000mm,92.900000mm
F1,81.196000mm,94.545000mm,Top,-90.0,81.196000mm,94.545000mm
F2,78.800000mm,94.595000mm,Top,-90.0,78.800000mm,94.595000mm
F3,70.100000mm,94.550000mm,Top,-90.0,70.100000mm,94.550000mm
F4,63.950000mm,94.550000mm,Top,-90.0,63.950000mm,94.550000mm
F5,58.650000mm,94.495000mm,Top,-90.0,58.650000mm,94.495000mm
F6,56.300000mm,94.450000mm,Top,-90.0,56.300000mm,94.450000mm
F7,32.900000mm,94.949979mm,Top,-90.0,32.900000mm,94.949979mm
F8,39.600000mm,94.849979mm,Top,-90.0,39.600000mm,94.849979mm
F9,35.350000mm,94.899979mm,Top,-90.0,35.350000mm,94.899979mm
F10,20.840000mm,35.700000mm,Top,90.0,20.840000mm,35.700000mm
F11,20.840000mm,44.000000mm,Top,90.0,20.840000mm,44.000000mm
J1,29.900000mm,3.815000mm,Top,0.0,29.900000mm,3.815000mm
J2,39.400000mm,4.300000mm,Top,-90.0,39.400000mm,4.300000mm
J5,27.000000mm,11.900000mm,Top,0.0,27.000000mm,11.900000mm
J6,14.000000mm,33.300000mm,Top,90.0,14.000000mm,33.300000mm
M1,46.700000mm,75.075001mm,Top,-90.0,46.700000mm,75.075001mm
M2,34.170111mm,29.811854mm,Top,180.0,34.170111mm,29.811854mm
M3,26.775000mm,66.450000mm,Top,180.0,26.775000mm,66.450000mm
M4,86.700002mm,43.799999mm,Top,180.0,86.700002mm,43.799999mm
M6,43.050001mm,29.775000mm,Top,180.0,43.050001mm,29.775000mm
M8,29.500000mm,56.687500mm,Top,0.0,29.500000mm,56.687500mm
M9,91.874999mm,71.225000mm,Top,-90.0,91.874999mm,71.225000mm
P1,61.650000mm,101.100000mm,Top,0.0,61.650000mm,101.100000mm
P2,9.350000mm,101.100000mm,Top,0.0,9.350000mm,101.100000mm
P4,72.100000mm,60.700000mm,Top,0.0,72.100000mm,60.700000mm
P16,89.100000mm,22.800000mm,Top,-90.0,89.100000mm,22.800000mm
P17,89.100000mm,25.800000mm,Top,-90.0,89.100000mm,25.800000mm
P18,89.100000mm,39.700000mm,Top,-90.0,89.100000mm,39.700000mm
P19,41.900000mm,11.200000mm,Top,0.0,41.900000mm,11.200000mm
P21,50.900000mm,1.000000mm,Top,-90.0,50.900000mm,1.000000mm
P22,55.400000mm,1.000000mm,Top,-90.0,55.400000mm,1.000000mm
P23,59.900000mm,1.000000mm,Top,-90.0,59.900000mm,1.000000mm
P24,46.900000mm,1.000000mm,Top,-90.0,46.900000mm,1.000000mm
P25,68.900000mm,1.000000mm,Top,-90.0,68.900000mm,1.000000mm
P26,64.400000mm,1.000000mm,Top,-90.0,64.400000mm,1.000000mm
P27,73.400000mm,1.000000mm,Top,-90.0,73.400000mm,1.000000mm
P28,77.800000mm,1.000000mm,Top,-90.0,77.800000mm,1.000000mm
Q4,27.800000mm,36.657581mm,Top,270.0,27.800000mm,36.657581mm
Q6,77.680000mm,82.800000mm,Top,270.0,77.680000mm,82.800000mm
Q7,85.180000mm,82.800000mm,Top,270.0,85.180000mm,82.800000mm
Q8,16.600000mm,73.600000mm,Top,270.0,16.600000mm,73.600000mm
Q9,13.100000mm,73.600000mm,Top,270.0,13.100000mm,73.600000mm
Q10,39.900000mm,79.437500mm,Top,270.0,39.900000mm,79.437500mm
Q11,72.000000mm,79.425000mm,Top,270.0,72.000000mm,79.425000mm
Q13,81.300000mm,69.400000mm,Top,270.0,81.300000mm,69.400000mm
Q14,81.300000mm,73.400000mm,Top,270.0,81.300000mm,73.400000mm
Q17,24.300000mm,36.657581mm,Top,270.0,24.300000mm,36.657581mm
Q20,71.850000mm,83.637500mm,Top,270.0,71.850000mm,83.637500mm
Q22,20.100000mm,73.600000mm,Top,270.0,20.100000mm,73.600000mm
Q23,9.600000mm,73.600000mm,Top,270.0,9.600000mm,73.600000mm
Q24,67.850000mm,78.962500mm,Top,90.0,67.850000mm,78.962500mm
Q26,19.180000mm,82.600000mm,Top,270.0,19.180000mm,82.600000mm
Q27,63.200000mm,87.900000mm,Top,270.0,63.200000mm,87.900000mm
Q30,11.680000mm,82.600000mm,Top,270.0,11.680000mm,82.600000mm
Q35,35.462500mm,73.900000mm,Top,0.0,35.462500mm,73.900000mm
Q36,31.462500mm,73.900000mm,Top,0.0,31.462500mm,73.900000mm
Q41,92.680000mm,82.800000mm,Top,270.0,92.680000mm,82.800000mm
Q42,87.680000mm,68.300000mm,Top,270.0,87.680000mm,68.300000mm
Q43,4.180000mm,82.600000mm,Top,270.0,4.180000mm,82.600000mm
Q44,34.180000mm,82.600000mm,Top,270.0,34.180000mm,82.600000mm
Q45,4.500000mm,20.300000mm,Top,270.0,4.500000mm,20.300000mm
